DFS,DFS,Winner
40,131,second
71,71,tie
101,21,first
229,0,first
125,7,first
123,57,first
117,53,first
71,90,second
160,32,first
5,166,second
86,65,first
37,87,second
88,63,first
79,57,first
119,95,first
109,51,first
120,10,first
35,130,second
173,56,first
128,67,first
91,44,first
33,68,second
90,33,first
274,9,first
83,4,first
85,85,tie
44,89,second
55,80,second
48,98,second
51,81,second
80,87,second
156,5,first
81,53,first
96,74,first
39,128,second
0,294,second
54,99,second
100,21,first
20,144,second
8,172,second
61,117,second
136,58,first
154,5,first
36,107,second
95,58,first
68,101,second
42,167,second
72,49,first
110,15,first
37,135,second
53,104,second
8,146,second
125,93,first
39,67,second
36,73,second
92,39,first
76,36,first
85,69,first
64,91,second
186,5,first
127,26,first
98,51,first
52,50,first
41,112,second
101,58,first
67,94,second
5,173,second
77,16,first
108,66,first
65,88,second
85,96,second
0,252,second
65,103,second
32,81,second
129,37,first
46,97,second
123,31,first
48,146,second
24,174,second
4,127,second
66,142,second
96,77,first
97,76,first
29,78,second
97,16,first
89,65,first
8,89,second
61,90,second
81,86,second
138,3,first
40,138,second
146,58,first
42,149,second
62,97,second
46,117,second
220,9,first
32,92,second
74,33,first
59,178,second
5,269,second