DFS,DQN,Winner
2,77,second
104,98,first
101,68,first
93,58,first
62,63,second
186,34,first
72,44,first
119,38,first
89,56,first
79,24,first
131,30,first
105,11,first
78,76,first
128,30,first
121,78,first
100,75,first
2,53,second
93,41,first
67,76,second
83,86,second
72,62,first
84,87,second
100,58,first
95,62,first
63,71,second
105,36,first
0,33,second
101,45,first
90,57,first
138,42,first
107,17,first
81,38,first
106,80,first
110,63,first
0,57,second
55,77,second
99,31,first
26,72,second
100,56,first
112,71,first
93,63,first
85,35,first
77,61,first
89,93,second
63,57,first
93,65,first
172,24,first
104,52,first
83,39,first
103,28,first
63,42,first
133,32,first
103,20,first
101,47,first
114,71,first
0,51,second
111,47,first
91,31,first
75,54,first
93,49,first
154,25,first
87,76,first
56,93,second
126,34,first
97,36,first
123,31,first
210,20,first
82,34,first
43,77,second
0,67,second
84,51,first
120,63,first
93,70,first
81,52,first
94,45,first
81,61,first
109,63,first
1,56,second
1,36,second
87,75,first
93,82,first
114,47,first
104,52,first
130,75,first
56,58,second
107,15,first
112,25,first
120,53,first
129,59,first
85,42,first
170,26,first
67,43,first
157,26,first
39,24,first
160,59,first
38,67,second
53,58,second
90,48,first
83,46,first
165,37,first