DQN,GreedyChoosing,Winner
13,50,second
32,54,second
33,51,second
46,16,first
30,57,second
13,70,second
31,31,tie
28,30,second
45,45,tie
27,19,first
27,51,second
15,32,second
27,56,second
31,38,second
15,22,second
46,31,first
12,57,second
38,53,second
23,58,second
24,103,second
29,56,second
11,91,second
20,36,second
19,30,second
16,34,second
41,59,second
21,51,second
10,25,second
11,42,second
43,11,first
19,57,second
19,36,second
19,43,second
8,48,second
5,22,second
24,42,second
20,48,second
20,95,second
19,25,second
19,44,second
9,67,second
19,79,second
30,40,second
13,34,second
32,32,tie
11,31,second
31,33,second
3,44,second
25,67,second
8,77,second
23,40,second
12,66,second
13,55,second
23,41,second
42,51,second
20,66,second
26,57,second
6,38,second
27,54,second
36,29,first
19,59,second
22,16,first
48,11,first
31,29,first
29,48,second
11,51,second
26,65,second
26,45,second
33,30,first
88,7,first
15,25,second
31,26,first
12,27,second
24,54,second
23,85,second
19,46,second
13,47,second
38,32,first
14,42,second
21,40,second
34,34,tie
29,38,second
27,36,second
27,47,second
8,22,second
18,58,second
44,38,first
10,67,second
35,69,second
36,21,first
29,42,second
21,39,second
35,15,first
23,30,second
18,52,second
32,29,first
24,34,second
47,47,tie
18,25,second
18,47,second